Tag;Datum;Zeit;Hallennummer;Inhalt Tooltip Halle;Spielnummer;Liga;Staffelkurzbezeichnung;Heimmannschaft;Gastmannschaft;Ergebnis;Halbzeitergebnis;SR A; Verein SR A; SR B; Verein SR B; SR C; Verein SR C; SR D; Verein SR D
Sat.;01.07.2017;00:00;;;1;ÜBOL WA;ÜBOL Staffel NW;TSV Pfändhausen;TSV Lohr;="0:0";="0:0";;;;;;;;
Fri.;07.07.2017;20:30;270180;Neugablonz, Sporthalle an der Turnerstrasse;20171076;Pokal M;Pokal VII;SG Kaufbeuren/Neugablonz;TSV Herrsching;="32:31";="0:0";Finsterwalder Rene;TSV Schongau;Hebendanz Benjamin;FC Bayern München;;;;
Sun.;09.07.2017;17:00;280150;Heufeld, Schulsporthalle;20172081;Pokal F;Pokal F R1 VIII;SV Bruckmühl;TSV Brannenburg;="10:32";="6:16";Erhart Herbert;TSV Unterhaching;;;;;;
Mon.;10.07.2017;20:30;230266;Nürnberg, ESV Flügelrad;20172030;Pokal F;Pokal F R1 III;ESV Flügelrad;1.FCN Handball;="15:36";="7:16";Hawly Moritz;MTV Stadeln e. V.;Hawly Tim;Post SV Nürnberg;;;;
Thu.;13.07.2017;19:00;210141;Höchberg Mainlandhalle;20172011;Pokal F;Pokal F R1 I;TG 1862 Höchberg;HSV Bergtheim II;="30:11";="0:0";Bitsch Alexander;MHV Schweinfurt 09 e.V.;Schmitt Manuel;MHV Schweinfurt 09 e.V.;;;;
Thu.;13.07.2017;20:30;280180;Kirchheim, Schulsporthalle;20171082;Pokal M;Pokal VIII;Kirchheimer SC;TSV Grafing;="23:34";="0:0";Erhart Herbert;TSV Unterhaching;;;;;;
Sat.;15.07.2017;00:00;;;20171061;Pokal M;Pokal VI;DJK Rohrbach;TG Landshut;="0:0";="0:0";;;;;;;;
Sat.;15.07.2017;14:00;210026;Bergtheim Willi-Sauer-Halle;20172010;Pokal F;Pokal F R1 I;HSG Pleichach;MHV Schweinf.09;="0:0";="0:0";;;;;;;;
Sat.;15.07.2017;14:00;220023;Bad Rodach, Bayernhalle;20172020;Pokal F;Pokal F R1 II;TSV Weitramsdorf;HSG Fichtelgebirge;="25:23";="1:1";Cyranek Dirk;TS Coburg;Posanski Uwe;TS Coburg;;;;
Sat.;15.07.2017;14:00;240000;Altdorf, Schulturnhalle Grundschule;20171041;Pokal M;pokal IV;TV 1881 Altdorf;HC Forchheim;="22:23";="0:0";Eckl Peter;HG im TV 1861 Amberg e.V.;Prasse Herbert;HG im TV 1861 Amberg e.V.;;;;
Sat.;15.07.2017;14:30;280260;Neubiberg, Sportzentrum;20172083;Pokal F;Pokal F R1 VIII;HSG Neubiberg-Ottobrunn;TSV Trudering II;="0:0";="0:0";Sikman Goran;FC Bayern München;;;;;;
Sat.;15.07.2017;15:00;260164;Ingolstadt, Bezirkssportanlage Süd-Ost;20171065;Pokal M;Pokal VI;HG Ingolstadt;ASV Dachau;="22:32";="11:18";Krämer Maximilian;TSV Allach 09 ;Mund Michael;TSV Allach 09 ;;;;
Sat.;15.07.2017;15:00;270120;Partenkirchen, Sporthalle Zugspitzrealschule ;20171070;Pokal M;Pokal VII;TSV Partenkirchen;SC U`hfn/Germering;="22:29";="10:18";Niederlöhner Joachim;SSV Ettal;Spindler Rüdiger;FC Bayern München;;;;
Sat.;15.07.2017;15:00;270364;Sonthofen, Allgäusporthalle ;20171072;Pokal M;Pokal VII;TSV Sonthofen;TSV Weilheim;="30:36";="15:19";Förster Ingo;TSV Mindelheim;Pankler Andrei;TSV Unterhaching;;;;
Sat.;15.07.2017;15:30;270306;Ottobeuren, Schulzentrum ;20172070;Pokal F;Pokal F R1 VII;TSV Ottobeuren;HSG Würm-Mitte;="30:31";="11:11";Graf Markus;HSG Schwab/kirchen;Westermaier Tobias;HSG Schwab/kirchen;;;;
Sat.;15.07.2017;16:00;260480;Zolling, Dreifach-Turnhalle;20172062;Pokal F;Pokal F R1 VI;SVA Palzing;TG Landshut;="0:0";="0:0";;;;;;;;
Sat.;15.07.2017;17:00;260400;Taufkirchen, Realschulturnhalle;20171060;Pokal M;Pokal VI;TSV Taufkirchen/vils;SpVgg Altenerding;="16:33";="6:16";Malta Gregor;TSV Schleißheim;Riemenschneider Kai;TSV Schleißheim;;;;
Sat.;15.07.2017;17:30;270306;Ottobeuren, Schulzentrum ;20171074;Pokal M;Pokal VII;TSV Ottobeuren;HSG Würm-Mitte;="22:26";="10:11";Schaub Stefan;SG Biessenhofen-Marktoberdorf;Seidel Philipp;SG Kempten-Kottern;;;;
Sat.;15.07.2017;18:00;270123;Geretsried, Hauptschule ;20171071;Pokal M;Pokal VII;HSG Isar-Loisach;SC Weßling;="25:23";="10:10";Esser Sebastian;TSV Weilheim;König Thomas;TSV Weilheim;;;;
Sat.;15.07.2017;18:00;220400;Tirschenreuth, Gymnasium;20171020;Pokal M;pokal II;HC Tirschenreuth;HSV Hochfranken;="14:33";="10:14";Dietel Rene;TV Marktleugast;Roßner Stefan;TV Münchberg;;;;
Sat.;15.07.2017;18:30;210343;Rottendorf Erasmus-Neustetter Halle;20171011;Pokal M;pokal I;Handball-Club Unterfranken;TSV Lohr;="18:25";="0:0";Geis Jochen;HSC Bad Neustadt;Scheuplein Peter;HSC Bad Neustadt;;;;
Sat.;15.07.2017;19:00;250064;Donauwörth, Neudegger-Halle ;20172051;Pokal F;Pokal F R1 V;VSC Donauwörth;Kissinger SC;="27:13";="15:7";Krabler Roland;TSV Bäumenheim;Müller Bernhard;TSV Bäumenheim;;;;
Sat.;15.07.2017;19:00;260225;Moosburg, Sporthalle Hauptschule;20172061;Pokal F;Pokal F R1 VI;SG Moosburg e.V.;HG Ingolstadt II;="22:13";="12:8";Müller Adrian;TG Landshut;Scheibengraber Werner;TG Landshut;;;;
Sat.;15.07.2017;19:00;260224;Metten, St. Benedikt Halle;20171063;Pokal M;Pokal VI;SSG Metten;TSV 1861 Mainburg;="0:0";="0:0";;;;;;;;
Sat.;15.07.2017;19:00;240082;Erlangen, Karl-Heinz-Hiersemann Halle;20171040;Pokal M;pokal IV;TV Erl.-Bruck;SG Regensburg;="0:0";="0:0";Brucker Jonas;HC Weiden;Fembacher Philipp;ATSV 1871 Kelheim e.V.;;;;
Sat.;15.07.2017;20:00;250121;Göggingen, Anton-Bezler-Halle;20171052;Pokal M;pokal V;TSV Göggingen;TSV Niederraunau;="22:28";="0:0";Malovetz Mario;TSV Friedberg;Schnitzlein Rene;TSV Friedberg;;;;
Sun.;16.07.2017;12:30;280320;Prien, Ludwig-Thoma-Halle;20172080;Pokal F;Pokal F R1 VIII;TuS Prien;TSV Grafing;="14:32";="0:0";Prinz Theresa;SG Süd/Blumenau;Uhlmann Danny;SG Süd/Blumenau;;;;
Sun.;16.07.2017;14:30;260100;Freising, Luitpoldhalle;20172067;Pokal F;Pokal F R1 VI;HSG Freising-Neufahrn;ESV Neuaubing;="19:27";="0:0";Faust Martin;SSV Schrobenhausen;Sentürk Altan-Kenan;SSV Schrobenhausen;;;;
Sun.;16.07.2017;16:00;220260;Naila, Frankenhalle;20172021;Pokal F;Pokal F R1 II;HG Naila;SG Kunstadt-Weidhausen;="10:16";="0:0";Jäger Armin;TS Schwarzenbach;Uzun Cem;TV Helmbrechts;;;;
Sun.;16.07.2017;16:00;240080;Eckental, Sporthalle Eschenau;20172041;Pokal F;Pokal F R1 IV;HG Eckental;SV Obertraubling;="16:17";="0:0";Guzik Werner;HSG Nabburg-Schwarzenfeld;Hunzinger Reiner;HSG Nabburg-Schwarzenfeld;;;;
Sun.;16.07.2017;16:00;270320;Peißenberg, Glückauf-Halle ;20172071;Pokal F;Pokal F R1 VII;TSV Peißenberg;SC U`hfn/Germering;="20:16";="6:11";Finsterwalder Rene;TSV Schongau;Häuserer Roman;TSV Schongau;;;;
Sun.;16.07.2017;16:30;260100;Freising, Luitpoldhalle;20171064;Pokal M;Pokal VI;HSG Freising-Neufahrn;MTV  Ingolstadt;="22:39";="0:0";Faust Martin;SSV Schrobenhausen;Sentürk Altan-Kenan;SSV Schrobenhausen;;;;
Sun.;16.07.2017;17:00;250125;Günzburg, Sporthalle ;20172050;Pokal F;Pokal F R1 V;VfL Günzburg;TV Gundelfingen;="26:29";="0:0";Krabler Roland;TSV Bäumenheim;Müller Bernhard;TSV Bäumenheim;;;;
Sun.;16.07.2017;17:00;240148;Hannberg, Seebachgrundhalle;20171042;Pokal M;pokal IV;HSG SGS Erl/HC Niederl;SV 08 Auerbach;="28:29";="14:13";Abel Peter;MTV Stadeln e. V.;Herpolsheimer Christian;TV 61 Erlangen-Bruck;;;;
Sun.;16.07.2017;17:00;250183;Königsbrunn, Willi-Oppenländer-Halle;20171053;Pokal M;pokal V;BHC Königsbr.09;TV Gundelfingen;="16:19";="5:8";Herrmann Maurice;TSV Neusäss;Salesch Markus;TSV Schwabmünchen;;;;
Sun.;16.07.2017;18:00;240080;Eckental, Sporthalle Eschenau;20171044;Pokal M;pokal IV;HG Eckental;SV Obertraubling;="33:26";="0:0";Guzik Werner;HSG Nabburg-Schwarzenfeld;Lippmann Andreas;HSG SGS Erlangen/HC Niederlindach;;;;
Tue.;18.07.2017;19:30;230001;Ansbach, Beckenweiherhalle;20172031;Pokal F;Pokal F R1 III;HG Ansbach;SG Schwabach/Roth;="15:22";="6:14";Homa David;MTV Stadeln e. V.;Mehl Oliver;MTV Stadeln e. V.;;;;
Tue.;18.07.2017;20:00;260480;Zolling, Dreifach-Turnhalle;20172062;Pokal F;Pokal F R1 VI;SVA Palzing;TSV Herrsching;="22:28";="8:17";Herten Norbert;HSG Straubing2008 e.V.;Semmler Steffen;HSG Straubing2008 e.V.;;;;
Tue.;18.07.2017;20:15;270361;Schongau, Lechsporthalle ;20171073;Pokal M;Pokal VII;TSV Schongau;Eichenauer SV;="27:33";="0:0";Niederlöhner Joachim;SSV Ettal;Spegele Markus;SC Unterpfaffenhofen/Germering;;;;
Tue.;18.07.2017;20:15;230266;Nürnberg, ESV Flügelrad;20171032;Pokal M;pokal III;ESV Flügelrad;MTV Stadeln;="26:30";="14:14";Escher Dirk;TV Roßtal;Schwarz Holger;TSV Altenberg;;;;
Wed.;19.07.2017;19:45;270102;Fürstenfeldbruck, Sporthalle am Tulpenfeld ;20172072;Pokal F;Pokal F R1 VII;TuS Fürstenfeldbruck;TSV Weilheim;="13:23";="7:9";Hebendanz Benjamin;FC Bayern München;Jaschunsky Michael;TSV Herrsching;;;;
Thu.;20.07.2017;19:45;280254;München, Sporthalle PSV München;20172082;Pokal F;Pokal F R1 VIII;PSV München;TSV Vaterstetten;="30:32";="0:0";Erhart Herbert;TSV Unterhaching;Schaumann Johanna;TSV Forstenried;;;;
Thu.;20.07.2017;20:00;240365;Sulzbach-Rosenberg, Krötensee-Halle;20172040;Pokal F;Pokal F R1 IV;HC Sulzb.Rosenb.;HC Erlangen;="22:29";="9:17";Eckl Peter;HG im TV 1861 Amberg e.V.;Hunzinger Reiner;HSG Nabburg-Schwarzenfeld;;;;
Thu.;20.07.2017;20:00;280300;Ottobrunn, Sportpark;20171086;Pokal M;Pokal VIII;HSG Neubiberg-Ottobrunn;TuS Prien;="29:32";="0:0";Sikman Goran;FC Bayern München;;;;;;
Thu.;20.07.2017;20:00;230001;Ansbach, Beckenweiherhalle;20171030;Pokal M;pokal III;HG Ansbach;HSG Lauf/Heroldsberg;="17:31";="10:15";Behrens Christopher;ESV Flügelrad Nürnberg;Dechert Christian;ESV Flügelrad Nürnberg;;;;
Fri.;21.07.2017;20:00;220140; Helmbrechts Sporthalle Helmbrechts;20171022;Pokal M;pokal II;TV Helmbrechts;HaSpo Bayreuth;="21:20";="8:7";Cyranek Dirk;TS Coburg;Posanski Uwe;TS Coburg;;;;
Fri.;21.07.2017;20:15;240040;Cham, Sporthalle Jos.-v.-Frauenhofer Gymnasium;20171043;Pokal M;pokal IV;ASV 1863 Cham;HC Sulzb.Rosenb.;="26:17";="0:0";Guzik Werner;HSG Nabburg-Schwarzenfeld;Hunzinger Reiner;HSG Nabburg-Schwarzenfeld;;;;
Sat.;22.07.2017;17:30;220142;Hof, Jahnhalle;20171021;Pokal M;pokal II;TSV Hof 1861;TV Münchberg;="20:35";="8:14";Hammer Ingo-Ludwig;HSG Fichtelgebirge;Moller Andreas;HaSpo Bayreuth;;;;
Sat.;22.07.2017;18:00;210300;Ochsenfurt Städtische Sporthalle;20171010;Pokal M;pokal I;TV Ochsenfurt;DJK Waldbüttelbr;="10:49";="4:25";Korn Daniel;TSV Waigolshausen;Weber Michael;TV Gerolzhofen;;;;
Sat.;22.07.2017;19:00;270460;Waltenhofen, Mehrzweckhalle ;20171075;Pokal M;Pokal VII;TV Waltenhofen;Dietmannsried/Altusried;="13:36";="7:17";Hebendanz Benjamin;FC Bayern München;Jaschunsky Michael;TSV Herrsching;;;;
Sat.;22.07.2017;19:00;250063;Dinkelscherben,Sporthalle Reischenau ;20171051;Pokal M;pokal V;Dinkelscherben;TSV Haunstetten;="15:35";="6:18";Herrmann Maurice;TSV Neusäss;Salesch Markus;TSV Schwabmünchen;;;;
Sun.;23.07.2017;16:00;260300;Oberschleißheim, Sporthalle an der Jahnstr. ;20172060;Pokal F;Pokal F R1 VI;TSV Schleißheim;ASV Dachau;="16:33";="6:16";Durmaz Faruk;HSG Freising-Neufahrn;Weber Andre;HSG Freising-Neufahrn;;;;
Sun.;23.07.2017;16:00;230341;Roßtal, Mittelschule;20171031;Pokal M;pokal III;TV Roßtal;TSV Rothenburg;="26:23";="8:13";Geck Mathias;SG SC 04 Schwabach/TSG 08 Roth;Zintl Christopher;SG SC 04 Schwabach/TSG 08 Roth;;;;
Sun.;23.07.2017;16:30;250064;Donauwörth, Neudegger-Halle ;20171050;Pokal M;pokal V;VSC Donauwörth;Kissinger SC;="27:28";="11:14";Bräunlein Franz;TSV 1909 Gersthofen e.V.;Schwenger Hermann;DJK Augsburg-Hochzoll;;;;
Sun.;23.07.2017;17:00;280231;München, Schulsporthalle Gymnasium Trudering / Eingang Markgrafenstr. 19;20171084;Pokal M;Pokal VIII;TSV Trudering;TSV Allach 09;="17:29";="0:0";Löw Andreas;TSV Grafing;Wörndl Anton;TSV Grafing;;;;
Sun.;23.07.2017;18:00;280249;München, Sporthalle TSV Milbertshofen;20171087;Pokal M;Pokal VIII;TSV Milbertshofen;TSV Unterhaching;="20:27";="7:14";Prinz Theresa;SG Süd/Blumenau;Uhlmann Danny;SG Süd/Blumenau;;;;
Tue.;25.07.2017;20:00;250101;Friedberg, Sporthalle des TSV Friedberg;20171054;Pokal M;pokal V;TSV Friedberg;VfL Günzburg;="28:21";="12:11";Heimrich Michael;TSV Herrsching;Kopp Rainer;TSV 1909 Gersthofen e.V.;;;;
Thu.;27.07.2017;20:00;280430;Übersee, Schulsporthalle;20171085;Pokal M;Pokal VIII;TSV Übersee;SV Bruckmühl;="28:22";="17:14";Mengedoht Tobias;TuS Prien;;;;;;
Fri.;28.07.2017;20:30;260068;Dachau,  Dr. Josef Schwalber Realschule;20171062;Pokal M;Pokal VI;TSV Dachau 65;TSV Simbach;="21:33";="9:17";Herten Norbert;HSG Straubing2008 e.V.;Semmler Steffen;HSG Straubing2008 e.V.;;;;
Sat.;29.07.2017;16:30;260360;Simbach, Richard-Findel-Halle (städt. Sporthalle;20172063;Pokal F;Pokal F R1 VI;TSV Simbach;HG Ingolstadt;="34:30";="12:13";Herten Norbert;HSG Straubing2008 e.V.;Semmler Steffen;HSG Straubing2008 e.V.;;;;
Sun.;30.07.2017;17:00;270325;Pullach, Erzdiözese;20171083;Pokal M;Pokal VIII;SV Pullach;SV Anzing;="19:32";="13:15";König Justus;TSV Herrsching;Meiler Sebastian;SG Kempten-Kottern;;;;
Tue.;01.08.2017;20:30;240465;Winkelhaid, Dr. Dietmar-Trautmann-Sportanlage;20172042;Pokal F;Pokal F R1 IV;TSV Winkelhaid;Mintraching/Neutraubling;="0:0";="0:0";Abel Peter;MTV Stadeln e. V.;Herpolsheimer Christian;TV 61 Erlangen-Bruck;;;;
Sat.;05.08.2017;17:00;210142;Haßfurt Schulzentrum;20171012;Pokal M;pokal I;TV Königsberg;TG Heidingsfeld;="0:0";="0:0";Hirt Hagen;HSG Volkach;Menz Christoph;HSG Volkach;;;;
Sat.;16.09.2017;00:00;;;1;ÜBOL MA;ÜBOL Staffel N;HC Forchheim;MTV Stadeln;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;11:00;230108;Fürth, Sporthalle Stadeln;20042101;ÜBOL MC;ÜBOL Staffel NO;MTV Stadeln;JSG Fürther Land II;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;11:00;240144;Herzogenaurach, Sporthalle Mittelschule;20057001;ÜBOL WB;ÜBOL Staffel NW;TS Herzogenaurach;TSV Lohr;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;11:00;280224;München, Sporthalle Eversbuschstr.;20057401;ÜBOL WB;ÜBOL Staffel SO;TSV Allach 09;HSG Schwab/kirchen;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;12:00;280130;Grafing, Schulsportzentrum ;20036201;LL MB;Landesliga Staffel Süd;TSV Grafing;SV Anzing;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;12:00;260084;Erding, Semptsporthalle Altenerding;20044001;ÜBL MC;ÜBL Staffel S 1;SpVgg Altenerding II;TSV Taufkirchen/vils;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;12:00;250008;Haunstetten, Sporthalle  TSV;20042201;ÜBOL MC;ÜBOL Staffel W;TSV Haunstetten;BHC Königsbr.09;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;12:15;250361;Schwabmünchen, Sporthalle an der Grundschule ;20061001;LL WC;Landesliga Staffel Nord;Schwabmünchen;TSG Estenfeld;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;12:15;280252;München, Sporthalle ESV Neuaubing;20043701;ÜBL MC;ÜBL Staffel SO 2 ;ESV Neuaubing;SV München Laim;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;12:15;250101;Friedberg, Sporthalle des TSV Friedberg;20043901;ÜBL MC;ÜBL Staffel SW 2 ;TSV Friedberg II;TSV Göggingen;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;12:30;260061;Dachau, Georg-Scherer-Halle;20032401;ÜBOL MA;ÜBOL Staffel S;ASV Dachau;SC U`hfn/Germering;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;12:45;240144;Herzogenaurach, Sporthalle Mittelschule;20063401;ÜBL WC;ÜBL Staffel NO;TS Herzogenaurach;SG Kernfranken;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;12:45;280150;Heufeld, Schulsporthalle;20032301;ÜBOL MA;ÜBOL Staffel SO;SV Bruckmühl;SB Chiem. Traunstein;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;13:00;270060;Dietmannsried, Dreifachsporthalle;20051201;LL WA;Landesliga Staffel Süd;Dietmannsried/Altusried;TSV Herrsching;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;13:00;210022;Bad Neustadt Bgm.-Goebels-Halle;20038001;ÜBL MB;ÜBL Staffel NW ;HSC Bad Neustadt;TV Gerolzhofen;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;13:00;280249;München, Sporthalle TSV Milbertshofen;20044002;ÜBL MC;ÜBL Staffel S 1;TSV Milbertshofen II;TSV Trostberg;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;13:00;230108;Fürth, Sporthalle Stadeln;20052201;ÜBOL WA;ÜBOL Staffel N;MTV Stadeln II;TV Dietenhofen;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;13:00;280242;München, Schulsporthalle Freiligrathstr. 71;20052501;ÜBOL WA;ÜBOL Staffel SO;MTSV Schwabing;TSV Zorneding;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;13:30;260084;Erding, Semptsporthalle Altenerding;20041001;LL MC;Landesliga Staffel Nord;SpVgg Altenerding;HC Erlangen II;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;13:30;260064;Deggendorf, Dreifachhalle Gymnasium;37;ÜBL MC;ÜBL Staffel NO 1 ;HC Deggendorf;SSG Metten;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;13:30;270130;Gröbenzell, Wildmoos 1;20062401;ÜBOL WC;ÜBOL S;HCD Gröbenzell II;TSV Allach 09 II;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;13:30;260001;Altötting, Dreifachturnhalle Hauptschule;20052802;ÜBOL WA;ÜBOL Staffel S;TV Altötting;TSV Simbach;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;13:30;280130;Grafing, Schulsportzentrum ;20052801;ÜBOL WA;ÜBOL Staffel S;TSV Grafing;SVO Handball Innsbruck;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;13:30;280430;Übersee, Schulsporthalle;20042501;ÜBOL MC;ÜBOL Staffel SO;TSV Übersee;TV Altötting;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;13:45;250008;Haunstetten, Sporthalle  TSV;20061002;LL WC;Landesliga Staffel Nord;TSV Haunstetten;SC Vöhringen;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:00;250101;Friedberg, Sporthalle des TSV Friedberg;20040001;BY MC;Bayernliga;TSV Friedberg;SG DJK Rimpar;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:00;250361;Schwabmünchen, Sporthalle an der Grundschule ;20041201;LL MC;Landesliga Staffel Süd;Schwabmünchen;TSV Ottobeuren;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:00;240026;Berching, Mehrzweckhalle;20058301;ÜBL WB;ÜBL Staffel M ;HSG Berching/Pollanten;TV Büchenbach;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:00;240060;Diepersdorf, Schulsporthalle;20043401;ÜBL MC;ÜBL Staffel NO 2 ;SpVgg Diepersd.;SV Buckenhofen;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:00;270226;Murnau, Hans Burger;20062402;ÜBOL WC;ÜBOL S;TSV Murnau;HSG München West;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:00;240180;Kelheim, städtische Sporthalle;20052301;ÜBOL WA;ÜBOL Staffel M;ATSV Kelheim e.V;JHG Städtedreieck/Schwandorf;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:00;240082;Erlangen, Karl-Heinz-Hiersemann Halle;20057101;ÜBOL WB;ÜBOL Staffel N;HC Erlangen II;SG Schwabach/Roth;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:00;240143;Hersbruck, Sportzentrum;20037101;ÜBOL MB;ÜBOL Staffel NO;HC Hersbruck e.V;MTV Stadeln;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:00;210466;Waldbüttelbrunn Ballsporthalle;20057002;ÜBOL WB;ÜBOL Staffel NW;DJK Waldbüttelbr;TSV Rothenburg;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:00;280248;München, Sporthalle TS Jahn München;20037301;ÜBOL MB;ÜBOL Staffel SO;TS Jahn München;TSV Vaterstetten;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:00;270202;Landsberg, Isidor-Hipper-Strasse;20037401;ÜBOL MB;ÜBOL Staffel SW;TSV Landsberg;SG Kaufbeuren/Neugablonz;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:00;270361;Schongau, Lechsporthalle ;20052601;ÜBOL WA;ÜBOL Staffel SW;TSV Schongau;SG Kempten-Kottern;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:00;250461;Wertingen, Sporthalle Gymnasium Wertingen;20042202;ÜBOL MC;ÜBOL Staffel W;TSV Wertingen;JSG Burlafingen/Neu-Ulm;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:15;280224;München, Sporthalle Eversbuschstr.;20040002;BY MC;Bayernliga;TSV Allach 09;HSG Isar-Loisach;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:15;240340;Regensburg, Sporthalle ESV 27;20036202;LL MB;Landesliga Staffel Süd;ESV 27 Regensbg.;HT München;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:15;210141;Höchberg Mainlandhalle;20043001;ÜBL MC;ÜBL Staffel NW ;TG 1862 Höchberg;TV Dettelbach;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:15;210026;Bergtheim Willi-Sauer-Halle;20062001;ÜBOL WC;ÜBOL N;HSV Bergtheim;HG Ansbach;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:15;280403;Traunreut, Halle TuS Traunreut;20062302;ÜBOL WC;ÜBOL SO;TuS Traunreut;HT München II;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:15;280010;Anzing, Sportzentrum;20062301;ÜBOL WC;ÜBOL SO;SV Anzing;TSV Brunnthal;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:15;230266;Nürnberg, ESV Flügelrad;20037102;ÜBOL MB;ÜBOL Staffel NO;ESV Flügelrad;HG Eckental;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:30;260061;Dachau, Georg-Scherer-Halle;20041202;LL MC;Landesliga Staffel Süd;ASV Dachau;SG Kempten-Kottern;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:30;230100;Feuchtwangen, Sporthalle;20052202;ÜBOL WA;ÜBOL Staffel N;TSV Schnelldorf;TV Roßtal;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:30;240005;Auerbach, Helmut-Ott-Halle;20037103;ÜBOL MB;ÜBOL Staffel NO;SG Auerbach/Pegnitz;JHG Adler Nürnberg;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:30;280150;Heufeld, Schulsporthalle;20052803;ÜBOL WA;ÜBOL Staffel S;SV Bruckmühl;TSV Schliersee;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;14:45;270022;Biessenhofen, Jahnhalle;20062201;ÜBOL WC;ÜBOL SW;SG Biessenhofen-Marktoberdorf;SG Kempten-Kottern;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;15:00;270060;Dietmannsried, Dreifachsporthalle;20022001;LLF;Landesliga Staffel S;Dietmannsried/Altusried;SV München Laim;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;15:00;270130;Gröbenzell, Wildmoos 1;20061201;LL WC;Landesliga Staffel Süd;HCD Gröbenzell;SV München Laim;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;15:00;260461;Waldkraiburg, Halle Hauptschule;20042502;ÜBOL MC;ÜBOL Staffel SO;VfL Waldkraiburg;SG SHV/UHC Salzburg;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;15:15;270100;Fürstenfeldbruck, Wittelsbacher-Halle;20035001;BY MB;Bayernliga;TuS Fürstenfeldbruck;HSC 2000 Coburg;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;15:15;260001;Altötting, Dreifachturnhalle Hauptschule;20062303;ÜBOL WC;ÜBOL SO;TV Altötting;TSV Simbach;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;15:30;210342;Rimpar DJK-Halle;20041002;LL MC;Landesliga Staffel Nord;SG DJK Rimpar II;JHG Adler Nürnberg;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;15:30;230344;Rothenburg, Halle am P1;20061003;LL WC;Landesliga Staffel Nord;TSV Rothenburg;TV Eibach 03;="0:0";="0:0";;;;;;;;
Sat.;16.09.2017;15:30;250008;Haunstetten, Sporthalle  TSV;20051202;LL WA;Landesliga Staffel Süd;TSV Haunstetten;TSV Aichach;="0:0";="0:0";;;;;;;;
